Gene	Mut ID	MG1655 Position	DNA Mutation	Mutation Type	CDS position	AA position	AA mutation	Upstream Gene	Downstream Gene	Population ID	Gen 0 frequency	Gen 100 frequency	Gen 200 frequency	Gen 300 frequency	Gen 400 frequency	Gen 500 frequency	Gen 600 frequency	Gen 700 frequency	Gen 800 frequency	Gen 900 frequency	Gen 1000 frequency	Gen 0 read depth	Gen 100 read depth	Gen 200 read depth	Gen 300 read depth	Gen 400 read depth	Gen 500 read depth	Gen 600 read depth	Gen 700 read depth	Gen 800 read depth	Gen 900 read depth	Gen 1000 read depth	Multiply hit locus
ftsE	2731	3602333	A->G	NSYN	 415	 139	S->P			S_5	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.056910569	0.557894737	0.853846154	135.0	102.0	100.0	 65.0	101.0	 97.0	145.0	 99.0	123.0	 95.0	130.0	FALSE
dnaX	2748	 493136	G->A	NSYN	1045	 349	V->I			S_5	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.051282051	0.524390244	0.860759494	156.0	 98.0	 77.0	 69.0	 81.0	 90.0	 87.0	 80.0	117.0	 82.0	 79.0	FALSE
ftsA	2781	 104952	T->G	NSYN	 971	 324	V->G			S_6	0.000000000	0.000000000	0.000000000	0.000000000	0.008403361	0.000000000	0.000000000	0.000000000	0.035087719	0.403973510	0.535483871	198.0	111.0	161.0	103.0	119.0	120.0	121.0	130.0	114.0	151.0	155.0	FALSE
trkH	2849	4033602	T->G	NSYN	 458	 153	L->R			S_6	0.000000000	0.321428571	0.756097561	0.861111111	0.732558140	0.675000000	0.956140351	0.972477064	0.990990991	1.000000000	0.970370370	150.0	 84.0	123.0	 72.0	 86.0	120.0	114.0	109.0	111.0	162.0	135.0	 TRUE
bglJ	2876	4604322	T->G	NSYN	 163	  55	S->A			S_6	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.034285714	0.222222222	0.219653179	0.160220994	0.079812207	0.047619048	267.0	193.0	222.0	142.0	184.0	175.0	216.0	173.0	181.0	213.0	252.0	FALSE
	2895	2890921	indel;-9							S_6	0.000000000	0.000000000	0.000000000	0.302593660	0.330882353	0.374100719	0.255033557	0.440476190	0.590000000	0.593548387	0.773333333	147.5	 62.4	 89.5	 69.4	 54.4	 69.5	 74.5	 84.0	100.0	 77.5	 75.0	FALSE
ftsW	2912	  99475	T->C	NSYN	1073	 358	V->A			Y_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.006622517	0.007633588	0.528301887	0.190000000	191.0	 74.0	107.0	 87.0	 97.0	 68.0	166.0	151.0	131.0	106.0	100.0	 TRUE
topB	2940	1845729	A->C	NSYN	1232	 411	L->R			Y_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.020979021	0.024000000	0.037037037	0.217391304	191.0	 93.0	120.0	 78.0	 88.0	 58.0	139.0	143.0	125.0	108.0	 92.0	FALSE
ftsP	2976	3162341	C->T	NSYN	 329	 110	G->D			Y_1	0.000000000	0.000000000	0.009259259	0.000000000	0.000000000	0.013513514	0.000000000	0.014285714	0.024793388	0.187500000	0.412371134	141.0	 77.0	108.0	115.0	103.0	 74.0	115.0	140.0	121.0	112.0	 97.0	 TRUE
cytR	3006	4123705	indel;C-1	FRAMESHIFT	 752					Y_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.019736842	0.152439024	0.324324324	0.049586777	0.021276596	158.0	 77.0	134.0	 85.0	116.0	 76.0	152.0	164.0	148.0	121.0	 94.0	 TRUE
cytR	3007	4124413	A->G	NSYN	  44	  15	V->A			Y_1	0.000000000	0.024691358	0.000000000	0.000000000	0.000000000	0.000000000	0.022988506	0.243421053	0.223140496	0.228346457	0.568965517	184.0	 81.0	113.0	 84.0	 86.0	 72.0	174.0	152.0	121.0	127.0	116.0	 TRUE
rnb	3089	1348534	A->T	NSYN	 379	 127	W->R			Y_2	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.069767442	0.101351351	0.303370787	0.500000000	0.596774194	0.588709677	164.0	118.0	196.0	101.0	128.0	 86.0	148.0	178.0	128.0	124.0	124.0	 TRUE
rnb	3090	1348839	A->C	NSYN	  74	  25	V->G			Y_2	0.000000000	0.000000000	0.000000000	0.000000000	0.013513514	0.032258065	0.229729730	0.153153153	0.116279070	0.173913043	0.138888889	 97.0	 52.0	129.0	 61.0	 74.0	 31.0	 74.0	111.0	 86.0	 69.0	 72.0	 TRUE
	3095	1647872	T->C							Y_2	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.168918919	0.368055556	0.189655172	0.355072464	0.128378378	199.0	112.0	124.0	 68.0	112.0	 72.0	148.0	144.0	116.0	138.0	148.0	FALSE
trkH	3148	4033608	T->A	NSYN	 464	 155	V->E			Y_2	0.000000000	0.185714286	0.212121212	0.055555556	0.613636364	0.490909091	0.134020619	0.019108280	0.000000000	0.000000000	0.000000000	133.0	 70.0	132.0	 72.0	 88.0	 55.0	 97.0	157.0	 98.0	116.0	 96.0	 TRUE
cytR	3154	4123852	C->T	NSYN	 605	 202	R->H			Y_2	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.006134969	0.319727891	0.403846154	0.490066225	221.0	124.0	175.0	117.0	108.0	 66.0	189.0	163.0	147.0	156.0	151.0	 TRUE
ybeM	3171	 657524	A->G	NCOD				ybeM	pagP	Y_2	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.034188034	0.192660550	0.185185185	0.293333333	126.0	 98.0	167.0	 65.0	 81.0	 49.0	106.0	117.0	109.0	108.0	 75.0	FALSE
icd	3187	1196220	C->T	SYN	1098	 366	H->H			Y_2	0.000000000	0.000000000	0.016483516	0.030000000	0.000000000	0.000000000	0.145833333	0.272108844	0.193333333	0.358974359	0.164772727	190.0	150.0	182.0	100.0	131.0	 75.0	144.0	147.0	150.0	156.0	176.0	 TRUE
icd	3187	1196220	C->T	SYN	1098	 366	H->H			P_5	0.000000000	0.009523810	0.005405405	0.024390244	0.031250000	0.023529412	0.000000000	0.116504854	0.204301075	0.183908046	0.042105263	167.0	105.0	185.0	123.0	128.0	 85.0	 58.0	103.0	 93.0	174.0	 95.0	 TRUE
icd	3188	1196232	C->T	SYN	1110	 370	T->T			Y_2	0.000000000	0.000000000	0.010928962	0.028846154	0.000000000	0.000000000	0.088235294	0.211267606	0.144827586	0.274074074	0.157575758	180.0	137.0	183.0	104.0	135.0	 76.0	136.0	142.0	145.0	135.0	165.0	 TRUE
icd	3189	1196245	T->C	SYN	1123	 375	L->L			Y_2	0.000000000	0.000000000	0.005747126	0.031250000	0.000000000	0.000000000	0.074626866	0.169230769	0.138888889	0.238461538	0.114649682	186.0	109.0	174.0	 96.0	121.0	 79.0	134.0	130.0	144.0	130.0	157.0	 TRUE
	3206	4021934	indel;-17							Y_2	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.081300813	0.219512195	0.139194139	176.0	121.5	112.1	 90.6	145.5	 70.0	140.0	145.5	123.0	123.0	136.5	FALSE
	3207	4123823	indel;-8							Y_2	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.156695157	0.420988408	0.262751159	0.301568154	0.152394775	192.8	117.4	178.3	112.7	114.9	 76.4	140.4	163.9	129.4	165.8	137.8	FALSE
	3207	4123823	indel;-8							Y_4	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.010010010	0.265306122	0.218531469	0.246343341	0.111199365	192.8	115.9	114.3	106.3	134.4	 84.4	 99.9	 98.0	114.4	129.9	125.9	FALSE
ftsW	3212	  98943	C->A	NSYN	 541	 181	P->T			Y_3	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.245901639		0.787610619	0.920863309	0.881118881	1.000000000	203.0	106.0	171.0	131.0	180.0	122.0		113.0	139.0	143.0	206.0	 TRUE
cytR	3265	4124401	G->T	NSYN	  56	  19	A->E			Y_3	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000		0.075000000	0.663793103	0.660550459	0.875000000	174.0	 82.0	195.0	120.0	170.0	113.0		120.0	116.0	109.0	160.0	 TRUE
rpoC	3268	4186794	C->A	NSYN	1445	 482	A->E			Y_3	0.000000000	0.000000000	0.000000000	0.000000000	0.021276596	0.256578947		0.000000000	0.000000000	0.000000000	0.000000000	183.0	152.0	232.0	149.0	235.0	152.0		163.0	147.0	116.0	163.0	 TRUE
ydjI	3342	1857323	G->A	SYN	 447	 149	G->G			Y_4	0.000000000	0.000000000	0.012578616	0.008695652	0.842767296	0.965909091	0.858695652	0.931506849	0.857142857	0.934065934	0.975000000	193.0	144.0	159.0	115.0	159.0	 88.0	 92.0	 73.0	105.0	 91.0	 80.0	FALSE
yafL	3449	 247214	A->G	NSYN	 503	 168	N->S			Y_5	0.000000000	0.000000000	0.014705882	0.294520548	0.518072289	0.369127517	0.146341463	0.253846154	0.142857143	0.014285714	0.116788321	162.0	110.0	136.0	146.0	166.0	149.0	123.0	130.0	175.0	140.0	137.0	FALSE
sapA	3451	1356297	A->T	NSYN	 814	 272	W->R			Y_5	0.000000000	0.000000000	0.000000000	0.044943820	0.181818182	0.582278481	0.723684211	0.723684211	0.927835052	0.956521739	0.888888889	113.0	 77.0	117.0	 89.0	 99.0	 79.0	 76.0	 76.0	 97.0	 92.0	 81.0	 TRUE
trkA	3476	3436947	C->A	NSYN	 430	 144	Q->K			Y_5	0.000000000	0.000000000	0.000000000	0.218934911	0.162280702	0.111607143	0.033175355	0.000000000	0.000000000	0.000000000	0.004830918	230.0	162.0	189.0	169.0	228.0	224.0	211.0	216.0	212.0	181.0	207.0	FALSE
trkH	3479	4033572	T->C	NSYN	 428	 143	I->T			Y_5	0.000000000	0.000000000	0.007575758	0.217741935	0.476190476	0.428571429	0.164383562	0.319148936	0.097014925	0.023809524	0.088050314	149.0	 90.0	132.0	124.0	189.0	147.0	146.0	141.0	134.0	126.0	159.0	 TRUE
	3484	4209685	C->A	NCRNA						Y_5	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.324675325	0.752941176	0.419753086	0.372093023	0.109589041	0.000000000	 74.0	 65.0	 61.0	 67.0	 81.0	 77.0	 85.0	 81.0	 86.0	 73.0	 69.0	FALSE
glyX	3486	4391527	C->T	NCOD				glyX		Y_5	0.000000000	0.000000000	0.004000000	0.000000000	0.000000000	0.000000000	0.048888889	0.245833333	0.091787440	0.028169014	0.113138686	252.0	209.0	250.0	207.0	285.0	250.0	225.0	240.0	207.0	213.0	274.0	FALSE
clpX	3488	 458028	C->G	NSYN	 603	 201	D->E			Y_5	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.158192090	0.857142857	0.808641975	194.0	149.0	182.0	161.0	190.0	148.0	187.0	157.0	177.0	140.0	162.0	FALSE
fimD	3495	4545086	C->A	NCOD				fimD	fimI	Y_5	0.000000000	0.016000000	0.617647059	0.400000000	0.323170732	0.510489510	0.800000000	0.798742138	0.936170213	0.966942149	0.896296296	166.0	125.0	136.0	120.0	164.0	143.0	155.0	159.0	141.0	121.0	135.0	 TRUE
sapA	3517	1356239	A->T	NSYN	 872	 291	L->Q			Y_6	0.000000000	0.000000000	0.000000000	0.021978022	0.109375000	0.303030303	0.604395604	0.793103448	0.880597015	0.956043956	0.985294118	115.0	 74.0	 78.0	 91.0	 64.0	 66.0	 91.0	 87.0	 67.0	 91.0	 68.0	 TRUE
yhjA	3560	3667934	C->T	NSYN	1255	 419	V->M			Y_6	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.641975309	0.788321168	175.0	128.0	138.0	122.0	100.0	133.0	174.0	218.0	142.0	162.0	137.0	FALSE
spoT	3564	3824444	C->A	NSYN	2045	 682	A->E			Y_6	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.089552239	0.543046358	0.818181818	0.869565217	0.977941176	0.990909091	129.0	108.0	 75.0	116.0	 87.0	134.0	151.0	154.0	 92.0	136.0	110.0	FALSE
trkH	3567	4034352	C->A	NSYN	1208	 403	A->D			Y_6	0.006211180	0.000000000	0.000000000	0.014084507	0.324561404	0.473684211	0.040697674	0.042553191	0.011627907	0.000000000	0.000000000	161.0	142.0	138.0	142.0	114.0	133.0	172.0	188.0	172.0	187.0	131.0	 TRUE
fimI	3581	4542986	indel;A-1	NCOD				fimI	fimE	Y_6	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.350000000	0.105263158	0.214285714	0.000000000	0.133333333	184.0	 53.0	 27.0	 29.0	 38.0	 28.0	 20.0	 38.0	 14.0	 13.0	 15.0	FALSE
fimA	3582	4543317	A->C	NSYN	 203	  68	E->A			Y_6	0.000000000	0.000000000	0.000000000	0.007407407	0.000000000	0.007092199	0.267605634	0.137724551	0.110294118	0.028248588	0.007575758	161.0	164.0	113.0	135.0	107.0	141.0	142.0	167.0	136.0	177.0	132.0	 TRUE
hcp	3587	 913831	G->A	NCOD				hcp	ybjE	Y_6	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.466292135	0.876811594	0.975409836	0.980769231	154.0	183.0	204.0	215.0	158.0	173.0	186.0	178.0	138.0	122.0	104.0	 TRUE
ydcI	3620	1494483	C->T	NSYN	 589	 197	V->M			V_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.196531792	0.283464567	0.062500000	0.008333333	0.000000000	194.0	117.0	123.0	 68.0	128.0	 77.0	173.0	127.0	112.0	120.0	 90.0	 TRUE
ydcI	3621	1494618	C->T	NSYN	 454	 152	D->N			V_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.183206107	0.262711864	0.153846154	0.054263566	0.022222222	181.0	 78.0	109.0	 58.0	151.0	101.0	131.0	118.0	117.0	129.0	 90.0	 TRUE
flu	3633	2071308	G->T	NCOD				flu	yoeA	V_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.005235602	0.312925170	0.402912621	0.550335570	291.0	151.0	 89.0	100.0	100.0	163.0	190.0	191.0	147.0	206.0	149.0	FALSE
rcsB	3647	2316706	G->A	NSYN	 530	 177	R->H			V_1	0.000000000	0.269230769	0.977272727	1.000000000	0.992000000	0.971153846	1.000000000	1.000000000	0.991803279	0.991666667	0.988095238	155.0	 78.0	 88.0	 71.0	125.0	104.0	129.0	 98.0	122.0	120.0	 84.0	FALSE
hslO	3684	3530306	A->C	NSYN	 533	 178	Q->P			V_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.010638298	0.000000000	0.172839506	0.437500000	0.518518519	116.0	 52.0	 93.0	 35.0	 92.0	 47.0	 94.0	 79.0	 81.0	 64.0	 54.0	 TRUE
cytR	3703	4123775	T->G	NSYN	 682	 228	T->P			V_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.381355932	0.344444444	192.0	 97.0	155.0	 64.0	128.0	 87.0	123.0	111.0	113.0	118.0	 90.0	 TRUE
fimA	3726	4543518	C->A	NSYN	 404	 135	T->K			V_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.155172414	0.227941176	0.071428571	0.008196721	200.0	 96.0	107.0	 82.0	143.0	 94.0	130.0	116.0	136.0	140.0	122.0	 TRUE
yhdJ	3817	3411620	G->T	NCOD				yhdJ	dusB	V_2	0.000000000	0.000000000	0.389312977	0.189473684	0.567164179	0.900000000	0.663793103	0.134615385	0.020134228	0.000000000	0.005917160	230.0	 99.0	131.0	 95.0	134.0	 90.0	116.0	104.0	149.0	121.0	169.0	 TRUE
yhdJ	3817	3411620	G->T	NCOD				yhdJ	dusB	V_3	0.000000000	0.000000000	0.560439560	0.412698413	0.637254902	0.360465116	0.533742331	0.711956522	0.939849624	0.878306878	0.596491228	230.0	115.0	182.0	 63.0	102.0	 86.0	163.0	184.0	133.0	189.0	114.0	 TRUE
rpoA	3819	3440068	C->T	STOPGAIN	 962	 321	W->X			V_2	0.000000000	0.000000000	0.071895425	0.434343434	0.180124224	0.055045872	0.000000000	0.000000000	0.000000000	0.000000000	0.006896552	238.0	105.0	153.0	 99.0	161.0	109.0	115.0	105.0	153.0	104.0	145.0	 TRUE
rpoA	3819	3440068	C->T	STOPGAIN	 962	 321	W->X			V_4	0.000000000	0.286666667	0.979591837	1.000000000	0.995633188	0.981707317	1.000000000	1.000000000	1.000000000	0.994350282	0.981566820	238.0	150.0	147.0	115.0	229.0	164.0	142.0	159.0	181.0	177.0	217.0	 TRUE
rpoA	3819	3440068	C->T	STOPGAIN	 962	 321	W->X			V_5	0.000000000	0.331491713	0.156250000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	238.0	181.0	128.0	148.0	147.0	140.0	262.0	162.0	239.0	 84.0	173.0	 TRUE
tufA	3820	3471374	C->A	NCOD				tufA	fusA	V_2	0.000000000	0.000000000	0.000000000	0.006289308	0.095693780	0.020547945	0.000000000	0.731250000	0.482412060	0.748538012	0.802030457	269.0	108.0	130.0	159.0	209.0	146.0	188.0	160.0	199.0	171.0	197.0	 TRUE
tufA	3820	3471374	C->A	NCOD				tufA	fusA	V_3	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.012048193	0.145348837	0.000000000	0.000000000	0.000000000	0.285714286	269.0	233.0	211.0	 59.0	140.0	 83.0	172.0	190.0	131.0	210.0	217.0	 TRUE
hslO	3822	3529864	A->C	NSYN	  91	  31	I->L			V_2	0.000000000	0.000000000	0.009389671	0.367816092	0.169811321	0.071428571	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	173.0	 57.0	213.0	 87.0	106.0	 70.0	122.0	103.0	146.0	105.0	163.0	 TRUE
rpoC	3837	4189438	C->A	STOPGAIN	4089	1363	Y->X			V_2	0.000000000	0.000000000	0.238095238	0.261261261	0.180000000	0.036585366	0.000000000	0.934782609	0.983333333	0.989473684	0.993103448	166.0	 63.0	147.0	111.0	100.0	 82.0	 91.0	 92.0	120.0	 95.0	145.0	 TRUE
rpoC	3837	4189438	C->A	STOPGAIN	4089	1363	Y->X			V_3	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.349693252	0.000000000	0.000000000	0.000000000	0.452054795	166.0	103.0	179.0	 83.0	 93.0	 71.0	163.0	172.0	112.0	141.0	 73.0	 TRUE
ybeD	3849	 662471	C->A	NSYN	 172	  58	V->L			V_2	0.000000000	0.974137931	0.877192982	0.544000000	0.780104712	0.895104895	0.000000000	0.963190184	0.984210526	0.994117647	0.991596639	288.0	116.0	171.0	125.0	191.0	143.0	162.0	163.0	190.0	170.0	238.0	 TRUE
ybeD	3849	 662471	C->A	NSYN	 172	  58	V->L			V_3	0.000000000	0.005102041	0.000000000	0.000000000	0.000000000	0.000000000	0.986175115	0.000000000	0.000000000	0.000000000	0.475409836	288.0	196.0	239.0	 66.0	152.0	 97.0	217.0	203.0	129.0	177.0	122.0	 TRUE
lptE	3850	 671886	T->A	NSYN	 301	 101	I->F			V_2	0.000000000	0.971428571	0.885542169	0.475247525	0.731707317	0.904255319	0.000000000	1.000000000	0.984251969	1.000000000	0.993506494	222.0	 70.0	166.0	101.0	123.0	 94.0	140.0	119.0	127.0	113.0	154.0	FALSE
lptE	3850	 671886	T->A	NSYN	 301	 101	I->F			V_3	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.994011976	0.000000000	0.000000000	0.000000000	0.468468468	222.0	148.0	186.0	 75.0	109.0	 73.0	167.0	186.0	108.0	150.0	111.0	FALSE
fimD	3861	4545086	C->T	NCOD				fimD	fimI	V_2	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.047619048	0.000000000	0.150000000	0.495934959	0.186440678	0.239263804	188.0	 42.0	165.0	 84.0	103.0	 63.0	116.0	100.0	123.0	118.0	163.0	 TRUE
fimD	3861	4545086	C->T	NCOD				fimD	fimI	V_3	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.224358974	0.000000000	0.000000000	0.000000000	0.039473684	188.0	125.0	162.0	 58.0	 71.0	 47.0	156.0	165.0	120.0	158.0	 76.0	 TRUE
yjtD	3865	4640346	T->A	NCOD				yjtD	creD	V_2	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.848101266	0.000000000	0.078740157	0.000000000	0.028368794	0.009049774	247.0	 72.0	187.0	124.0	156.0	 79.0	151.0	127.0	155.0	141.0	221.0	FALSE
yjtD	3865	4640346	T->A	NCOD				yjtD	creD	V_3	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.502564103	0.000000000	0.000000000	0.000000000	0.016949153	247.0	180.0	203.0	 78.0	 96.0	 92.0	195.0	213.0	126.0	154.0	118.0	FALSE
aroH	3930	1789035	G->A	NSYN	 601	 201	A->T			V_3	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.410596026	0.370370370	0.412790698	0.238805970	209.0	115.0	167.0	 72.0	 71.0	 90.0	165.0	151.0	135.0	172.0	 67.0	FALSE
guaD	3970	3026919	A->C	NSYN	1154	 385	E->A			V_3	0.000000000	0.000000000	0.000000000	0.137254902	0.084745763	0.372093023	0.008333333	0.266129032	0.009090909	0.105263158	0.111111111	111.0	 70.0	152.0	 51.0	 59.0	 43.0	120.0	124.0	110.0	114.0	 54.0	FALSE
yhdJ	3993	3411599	C->A	NCOD				yhdJ	dusB	V_3	0.000000000	0.000000000	0.005376344	0.000000000	0.000000000	0.632183908	0.000000000	0.205263158	0.014492754	0.099502488	0.028846154	233.0	123.0	186.0	 57.0	110.0	 87.0	155.0	190.0	138.0	201.0	104.0	 TRUE
yhdJ	3993	3411599	C->A	NCOD				yhdJ	dusB	V_6	0.000000000	0.000000000	0.000000000	0.033333333	0.585937500	0.204819277	0.010638298	0.000000000	0.000000000	0.000000000	0.000000000	233.0	103.0	172.0	 60.0	128.0	 83.0	 94.0	137.0	 46.0	210.0	 88.0	 TRUE
	3994	3419873	T->A							V_3	0.000000000	0.000000000	0.000000000	0.000000000	0.009523810	0.049382716	0.000000000	0.728643216	0.844594595	0.899122807	0.318181818	237.0	148.0	210.0	 87.0	105.0	 81.0	191.0	199.0	148.0	228.0	154.0	FALSE
cytR	4018	4124465	C->A	NCOD				cytR	priA	V_3	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.438356164	0.404958678	0.492537313	0.318681319	161.0	 88.0	164.0	 57.0	 73.0	 64.0	157.0	146.0	121.0	134.0	 91.0	 TRUE
ybeD	4038	 662513	T->G	NSYN	 130	  44	T->P			V_3	0.000000000	0.021621622	0.501976285	0.520547945	0.529411765	0.230769231	0.003861004	0.598039216	0.910569106	0.861445783	0.368421053	325.0	185.0	253.0	 73.0	153.0	 91.0	259.0	204.0	123.0	166.0	133.0	 TRUE
ybeD	4039	 662552	C->T	NSYN	  91	  31	V->M			V_3	0.000000000	0.093525180	0.197309417	0.393939394	0.469026549	0.800000000	0.000000000	0.285714286	0.093220339	0.085526316	0.010309278	241.0	139.0	223.0	 66.0	113.0	 60.0	198.0	189.0	118.0	152.0	 97.0	 TRUE
rnb	4079	1348722	A->G	NSYN	 191	  64	I->T			V_4	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.086666667	0.074074074	0.721088435	110.0	 83.0	 90.0	 70.0	133.0	 80.0	 69.0	 93.0	150.0	108.0	147.0	 TRUE
mutH	4098	2969167	G->T	NCOD				mutH		V_4	0.000000000	0.003164557	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.152343750	0.276162791	0.753246753	354.0	316.0	353.0	223.0	465.0	308.0	309.0	347.0	256.0	344.0	 77.0	FALSE
hslO	4101	3529976	A->T	NSYN	 203	  68	Q->L			V_4	0.000000000	0.000000000	0.969465649	0.977011494	0.994535519	1.000000000	0.992424242	0.984962406	1.000000000	0.993243243	0.994011976	169.0	132.0	131.0	 87.0	183.0	124.0	132.0	133.0	177.0	148.0	167.0	 TRUE
sapD	4155	1352926	C->T	NSYN	 703	 235	G->S			V_5	0.000000000	0.027777778	0.274853801	0.983471074	0.731034483	0.907894737	0.984251969	1.000000000	0.992592593	0.985294118	1.000000000	209.0	180.0	171.0	121.0	145.0	152.0	127.0	103.0	135.0	 68.0	165.0	FALSE
ftsP	4176	3162408	T->A	STOPGAIN	 262	  88	K->X			V_5	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.047244094	0.256410256	0.514492754	0.819672131	0.711111111	120.0	129.0	 99.0	110.0	 84.0	 86.0	127.0	117.0	138.0	 61.0	135.0	 TRUE
dusB	4177	3411208	T->G	NSYN	 929	 310	L->R			V_5	0.000000000	0.000000000	0.000000000	0.014705882	0.000000000	0.000000000	0.066147860	0.496503497	0.258620690	0.268292683	0.282051282	209.0	155.0	142.0	136.0	119.0	125.0	257.0	143.0	174.0	 82.0	156.0	FALSE
tufA	4178	3470536	A->T	NSYN	 794	 265	L->Q			V_5	0.000000000	0.000000000	0.255924171	0.982832618	0.754464286	0.917293233	1.000000000	1.000000000	0.996784566	1.000000000	1.000000000	308.0	292.0	211.0	233.0	224.0	266.0	425.0	293.0	311.0	199.0	274.0	 TRUE
cytR	4184	4123560	indel;C-1	FRAMESHIFT	 897					V_5	0.000000000	0.000000000	0.000000000	0.000000000	0.170000000	0.189473684	0.485436893	0.832214765	0.881443299	0.930555556	0.953020134	196.0	158.0	136.0	122.0	100.0	 95.0	206.0	149.0	194.0	 72.0	149.0	 TRUE
ybcK	4190	 569155	G->T	NSYN	 254	  85	S->I			V_5	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.032258065	0.163522013	0.562264151	0.701863354	0.753926702	397.0	268.0	210.0	263.0	212.0	300.0	279.0	159.0	265.0	161.0	191.0	FALSE
ybeD	4191	 662605	G->A	NSYN	  38	  13	T->I			V_5	0.000000000	0.005714286	0.541353383	0.013793103	0.192307692	0.036764706	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	201.0	175.0	133.0	145.0	104.0	136.0	170.0	113.0	140.0	 83.0	140.0	 TRUE
yjhB	4196	4503693	C->T	NCOD				yjhB		V_5	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.048780488	0.475728155	0.136363636	0.056074766	0.020408163	0.003623188	332.0	393.0	236.0	261.0	257.0	287.0	309.0	242.0	321.0	196.0	276.0	FALSE
	4206	2175882	indel;-5							V_5	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.013422819	0.008968610	0.363636364	0.542635659	152.9	128.0	113.0	101.5	104.0	100.0	107.5	 74.5	111.5	 60.5	129.0	FALSE
rpoD	4321	3213363	G->A	NSYN	 317	 106	G->D			V_6	0.000000000	0.255102041	0.012500000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	159.0	 98.0	160.0	 71.0	122.0	 83.0	 79.0	148.0	 30.0	153.0	 63.0	 TRUE
yhdJ	4325	3411621	C->A	NCOD				yhdJ	dusB	V_6	0.000000000	0.000000000	0.000000000	0.000000000	0.014084507	0.047619048	0.275510204	0.204225352	0.000000000	0.043269231	0.026666667	229.0	111.0	171.0	 72.0	142.0	 84.0	 98.0	142.0	 44.0	208.0	 75.0	 TRUE
